signal_id,ehtimollik
SG_000001,0.13849423736234773
SG_000007,0.1607311090732243
SG_000009,0.15310052495225895
SG_000010,0.1788707620109614
SG_000011,0.10485433614656905
SG_000018,0.2298968113823073
SG_000024,0.19510599890996325
SG_000026,0.20443488226760653
SG_000032,0.1617130320739147
SG_000033,0.254809566577267
SG_000034,0.09738148580280627
SG_000036,0.12716392208720798
SG_000039,0.15897718294162094
SG_000048,0.0805685125669274
SG_000049,0.13689895815742548
SG_000050,0.2080209026091251
SG_000053,0.07974451001000363
SG_000054,0.23574666914790438
SG_000055,0.2019161507548351
SG_000058,0.11989696144097789
SG_000059,0.1393485815305278
SG_000061,0.16823985547363987
SG_000062,0.15036469075889924
SG_000072,0.14916656030632128
SG_000073,0.19644707652060872
SG_000075,0.16559713033204798
SG_000080,0.19652019133657428
SG_000081,0.22688126361889083
SG_000083,0.07586165513620209
SG_000086,0.10888684101200016
SG_000087,0.2813635776745227
SG_000092,0.17964996953339335
SG_000099,0.20570884055224667
SG_000100,0.13878329326197014
SG_000105,0.14835087858133375
SG_000106,0.19069824705296937
SG_000107,0.05392635546107597
SG_000118,0.2020570960766091
SG_000120,0.17285000447039817
SG_000125,0.16238005177140954
SG_000129,0.15108482921219987
SG_000137,0.13819543943900486
SG_000146,0.1525347034897507
SG_000147,0.1627071972228621
SG_000149,0.24882875478491057
SG_000153,0.24156647882239302
SG_000161,0.08252074221480465
SG_000163,0.05456179826720506
SG_000165,0.2674980862824908
SG_000173,0.10299868759952882
SG_000178,0.22157951622240274
SG_000179,0.1582218349656181
SG_000187,0.4520350522063901
SG_000192,0.08095696937302922
SG_000193,0.27619059534545454
SG_000195,0.14570802583039796
SG_000196,0.20319507539965354
SG_000201,0.07446107518566024
SG_000203,0.11797242440664474
SG_000205,0.3544783387672319
SG_000207,0.226349970359766
SG_000211,0.19768753728781
SG_000214,0.12873350739120754
SG_000217,0.06011292429457566
SG_000218,0.31282024828461014
SG_000219,0.21314247552732737
SG_000227,0.134426973640864
SG_000229,0.1379693487200903
SG_000232,0.20857323344925172
SG_000240,0.11058273639450107
SG_000242,0.2761498683077996
SG_000244,0.12671509989730206
SG_000246,0.12418400601096267
SG_000250,0.13057339723412434
SG_000253,0.23797687401228335
SG_000262,0.1256055462733444
SG_000269,0.24370967572888408
SG_000270,0.12698543632660797
SG_000271,0.34626137366215654
SG_000284,0.16487819547457414
SG_000286,0.1545542883821535
SG_000287,0.08330619885369273
SG_000290,0.3227984425278989
SG_000291,0.1308870146659875
SG_000301,0.11930780424792074
SG_000302,0.18314645890136663
SG_000304,0.10798920988554025
SG_000306,0.32511788689586474
SG_000309,0.10931472031868339
SG_000314,0.16637445851618218
SG_000319,0.2966492540444514
SG_000320,0.15582389098762822
SG_000321,0.1887941530813692
SG_000325,0.19014110254424277
SG_000328,0.0906833819771449
SG_000329,0.17489009260532992
SG_000333,0.18105658513142975
SG_000334,0.2003432521868554
SG_000335,0.16442234364246552
SG_000339,0.07572547013439394
SG_000341,0.09792019692453255
SG_000345,0.27938325623822857
SG_000347,0.18819125140702284
SG_000349,0.1258143888185458
SG_000350,0.09063040721596576
SG_000351,0.09045424062247398
SG_000357,0.10641122342724152
SG_000360,0.24337311478866216
SG_000366,0.2947470820203736
SG_000368,0.18396717660738715
SG_000370,0.15124477009429288
SG_000378,0.14308642599806978
SG_000386,0.11942691155697857
SG_000394,0.12273619086074014
SG_000395,0.11431629646895533
SG_000397,0.23411132430693932
SG_000398,0.10913929828383911
SG_000401,0.1348470814359764
SG_000402,0.18824860544131994
SG_000414,0.21490863454805675
SG_000415,0.20473937112760598
SG_000419,0.2895169490486469
SG_000420,0.34208710692693817
SG_000422,0.20183275848578203
SG_000425,0.20267489445654907
SG_000430,0.09322873257695802
SG_000431,0.08433666906362493
SG_000435,0.06681155436759081
SG_000436,0.14346078994677813
SG_000440,0.12621609512744195
SG_000444,0.1350524888817002
SG_000450,0.13044900256190517
SG_000452,0.1282935447139352
SG_000454,0.17154211972216823
SG_000460,0.15986810459931486
SG_000462,0.14945342544625329
SG_000471,0.1669330638933859
SG_000474,0.20805025528043666
SG_000475,0.15162197949642717
SG_000476,0.144991938917164
SG_000480,0.18070775578389497
SG_000482,0.29217638208403435
SG_000484,0.17084018779643287
SG_000487,0.18323002208888678
SG_000488,0.1541192498895469
SG_000494,0.17584230144407267
SG_000496,0.12209125003591098
SG_000497,0.11875246738523634
SG_000498,0.10365779275856934
SG_000501,0.21229382289889598
SG_000506,0.1637531360565095
SG_000511,0.12864636701976867
SG_000513,0.09633080920827522
SG_000524,0.11597583793521184
SG_000526,0.21614177477600902
SG_000527,0.10781543373732641
SG_000530,0.15185391325435604
SG_000535,0.14021358757878263
SG_000536,0.1387972005952569
SG_000551,0.16594558835254825
SG_000561,0.2825052319625659
SG_000563,0.24445274279909457
SG_000567,0.16376031936025792
SG_000572,0.23854975945763957
SG_000580,0.17338006983759816
SG_000583,0.14442136608528575
SG_000585,0.2763033153019492
SG_000588,0.09994027088685291
SG_000591,0.2253850184954754
SG_000593,0.11411132286454857
SG_000594,0.25603266593777785
SG_000598,0.07787879765751068
SG_000603,0.13353576032884928
SG_000610,0.10864305402684661
SG_000614,0.15024577943558626
SG_000615,0.1804744341099146
SG_000616,0.09693335148082102
SG_000617,0.14559609037497034
SG_000619,0.10092154192531294
SG_000621,0.15999441887066665
SG_000629,0.298803663996714
SG_000633,0.16210298284259234
SG_000634,0.12339556556460661
SG_000638,0.15787187797142654
SG_000640,0.20483130080900097
SG_000643,0.19482777644557472
SG_000646,0.27205773824791984
SG_000648,0.09395873070505523
SG_000657,0.12732798106031723
SG_000662,0.12164117377923005
SG_000665,0.10725015770403509
SG_000666,0.2622084100145513
SG_000672,0.10222160177949005
SG_000674,0.15226269948849147
SG_000677,0.12876691490053385
SG_000678,0.25393560771414075
SG_000679,0.10633310523252992
SG_000691,0.17001878848389126
SG_000692,0.10284244183883028
SG_000693,0.31218411618742337
SG_000695,0.3505963223672164
SG_000696,0.13708273646743477
SG_000698,0.08282689590421959
SG_000706,0.12133882478505506
SG_000709,0.1459679873070018
SG_000713,0.12013738056262789
SG_000716,0.12314569657691013
SG_000717,0.05335032427831256
SG_000719,0.19361363126135134
SG_000722,0.2690570529985123
SG_000727,0.12985739013106554
SG_000734,0.15298677900530097
SG_000737,0.10807782556775641
SG_000739,0.15030251995054203
SG_000742,0.17690358931777683
SG_000743,0.11949384701238507
SG_000750,0.20739444728378625
SG_000751,0.31126435937406755
SG_000759,0.2574092064745301
SG_000762,0.13770336290075355
SG_000764,0.15229038816490958
SG_000768,0.09706310277654248
SG_000769,0.19043207256295575
SG_000770,0.14716386501259937
SG_000788,0.3184915787662801
SG_000790,0.08866841497513969
SG_000797,0.1833700233615919
